Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
849,2012N-00010,Daisey's Nails,2256,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,4,6,02/22/2012 12:00:00 AM,,02/22/2012 12:00:00 AM,02/21/2013 12:00:00 AM,01/24/2012 12:00:00 AM,New,2012N-00010,1,1,1,1,1,0,220,03/18/2013 12:00:00 AM
849,2013N-00019,Daisey's Nails,2256,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,4,6,02/22/2012 12:00:00 AM,,02/22/2013 12:00:00 AM,02/22/2014 12:00:00 AM,02/13/2013 12:00:00 AM,Renewal,2012N-00010,0,1,1,1,0,0,220,03/18/2013 12:00:00 AM
849,2014N-00018,Daisey's Nails,2256,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,4,5,02/22/2012 12:00:00 AM,,02/23/2014 12:00:00 AM,02/23/2015 12:00:00 AM,01/22/2014 12:00:00 AM,Renewal,2013N-00019,1,1,1,1,1,0,200,03/18/2013 12:00:00 AM
850,2012N-00012,Lynn's Nails & Skin Care,2288,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,7,5,02/06/2012 12:00:00 AM,,02/06/2012 12:00:00 AM,02/05/2013 12:00:00 AM,01/30/2012 12:00:00 AM,New,2012N-00012,1,1,1,1,1,0,240,02/05/2013 12:00:00 AM
850,2013N-00014,Lynn's Nails & Skin Care,2288,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,8,5,02/06/2012 12:00:00 AM,,02/05/2013 12:00:00 AM,02/05/2014 12:00:00 AM,01/29/2013 12:00:00 AM,Renewal,2012N-00012,0,1,1,1,1,0,280,02/05/2013 12:00:00 AM
850,2014N-00015,Lynn's Nails & Skin Care,2288,Dorchester,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,8,5,02/06/2012 12:00:00 AM,,02/06/2014 12:00:00 AM,02/06/2015 12:00:00 AM,01/27/2014 12:00:00 AM,Renewal,2012N-00012,1,1,1,1,1,0,280,02/05/2013 12:00:00 AM
851,2011N-00011,Sue's Nails,1145,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,6,3,,,10/06/2011 12:00:00 AM,10/05/2012 12:00:00 AM,07/15/2011 12:00:00 AM,New,2011N-00011,0,1,1,1,1,1,200,09/30/2013 12:00:00 AM
851,2012N-00104,Sue's Nails,1145,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,6,3,,,10/04/2012 12:00:00 AM,10/04/2013 12:00:00 AM,10/04/2012 12:00:00 AM,Renewal,2011N-00011,0,1,1,1,0,0,200,09/30/2013 12:00:00 AM
851,2013N-00121,Sue's Nails,1145,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,6,3,,,10/04/2013 12:00:00 AM,10/04/2014 12:00:00 AM,09/16/2013 12:00:00 AM,Renewal,2012N-00104,1,1,1,1,1,0,220,09/30/2013 12:00:00 AM
851,2014N-00136,Sue's Nails,1145,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,6,3,,,10/05/2014 12:00:00 AM,10/05/2015 12:00:00 AM,10/03/2014 12:00:00 AM,Renewal,2013N-00121,0,0,1,1,0,0,180,
852,2012N-00027,Awesome Nails Plus,1158,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,8,6,03/27/2012 12:00:00 AM,,03/27/2012 12:00:00 AM,03/27/2013 12:00:00 AM,03/05/2012 12:00:00 AM,New,2012N-00027,0,1,1,1,1,0,300,03/05/2012 12:00:00 AM
852,2013N-00042,Awesome Nails Plus,1158,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,8,6,03/27/2012 12:00:00 AM,,03/22/2013 12:00:00 AM,03/22/2014 12:00:00 AM,03/22/2013 12:00:00 AM,Renewal,2012N-00027,1,1,1,1,1,0,300,03/05/2012 12:00:00 AM
852,2014N-00054,Awesome Nails Plus,1158,Blue Hill,AV,South Dorchester,MA,2124,0,1,0,0,0,1,,6,8,03/27/2012 12:00:00 AM,,03/23/2014 12:00:00 AM,03/23/2015 12:00:00 AM,03/25/2014 12:00:00 AM,Renewal,,1,1,1,1,1,0,300,03/05/2012 12:00:00 AM
854,2012N-00017,MTV Hair & Nail Salon,107,Savin Hill,AV,North Dorchester,MA,2125,0,1,1,1,0,1,,2,2,02/14/2012 12:00:00 AM,,05/02/2012 12:00:00 AM,05/02/2013 12:00:00 AM,02/14/2012 12:00:00 AM,New,2012N-00017,1,1,1,1,1,0,100,05/01/2013 12:00:00 AM
854,2013N-00049,MTV Hair & Nail Salon,107,Savin Hill,AV,North Dorchester,MA,2125,0,1,1,1,0,1,,2,2,02/14/2012 12:00:00 AM,,05/03/2013 12:00:00 AM,05/03/2014 12:00:00 AM,04/22/2013 12:00:00 AM,Renewal,2012N-00017,0,1,1,1,0,0,100,05/01/2013 12:00:00 AM
